State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
FL,2016,13,184693.0,171149.0,0.519030918,R,D
FL,2016,14,195789.0,121088.0,0.617870656,D,D
FL,2016,15,135475.0,182999.0,0.42538794399999996,R,R
FL,2016,16,155262.0,230654.0,0.402320712,R,R
FL,2016,17,115974.0,209348.0,0.356489878,R,R
FL,2016,18,161918.0,201488.0,0.44555676,O,R
FL,2016,19,123812.0,239225.0,0.341045128,O,R
FL,2016,20,222914.0,54646.0,0.803120046,D,D
FL,2016,21,210606.0,118038.0,0.640833242,D,D
FL,2016,22,199113.0,138737.0,0.589353263,D,D
FL,2016,23,183225.0,130818.0,0.5834392110000001,D,D
FL,2016,24,1.0,0.0,1.0,D,D
FL,2016,25,95319.0,157921.0,0.376397883,R,R
FL,2016,26,115493.0,148547.0,0.437407211,R,R
FL,2016,27,129760.0,157917.0,0.45106143299999996,R,R
GA,2016,1,0.0,210243.0,0.0,R,R
GA,2016,2,148543.0,94056.0,0.612298484,D,D
GA,2016,3,95969.0,207218.0,0.31653402,O,R
GA,2016,4,220146.0,70593.0,0.757194597,D,D
GA,2016,5,253781.0,46768.0,0.84439143,D,D
GA,2016,6,124917.0,201088.0,0.383175105,R,R
GA,2016,7,114220.0,174081.0,0.39618315600000004,R,R
GA,2016,8,83225.0,173983.0,0.323570807,R,R
GA,2016,9,0.0,256535.0,0.0,R,R
GA,2016,10,0.0,243725.0,0.0,R,R
GA,2016,11,105383.0,217935.0,0.325942261,R,R
GA,2016,12,99420.0,159492.0,0.38399147200000006,R,R
GA,2016,13,252833.0,0.0,1.0,D,D
GA,2016,14,0.0,216743.0,0.0,R,R
HI,2016,1,145417.0,45958.0,0.75985369,O,D
HI,2016,2,170848.0,39668.0,0.811567767,D,D
IA,2016,1,177403.0,206903.0,0.461619126,R,R
IA,2016,2,198571.0,170933.0,0.537398783,D,D
IA,2016,3,155002.0,208598.0,0.42629813,R,R
IA,2016,4,142993.0,226719.0,0.38676862,R,R
ID,2016,1,113052.0,242252.0,0.318183865,R,R
ID,2016,2,95940.0,205292.0,0.318492059,R,R
IL,2016,1,234037.0,81817.0,0.7409657629999999,D,D
IL,2016,2,235051.0,59471.0,0.798076205,D,D
IL,2016,3,225320.0,0.0,1.0,D,D
IL,2016,4,171297.0,0.0,1.0,D,D
IL,2016,5,212842.0,86222.0,0.711693818,D,D
IL,2016,6,143591.0,208555.0,0.40775985,R,R
IL,2016,7,250584.0,46882.0,0.842395433,D,D
IL,2016,8,144954.0,103617.0,0.583149281,O,D
IL,2016,9,217306.0,109550.0,0.664837115,D,D
IL,2016,10,150435.0,135535.0,0.526051684,R,D
IL,2016,11,166578.0,108995.0,0.6044786679999999,D,D
IL,2016,12,124246.0,169976.0,0.42228657299999994,R,R
IL,2016,13,126811.0,187583.0,0.403350573,R,R
IL,2016,14,137589.0,200508.0,0.40695126,R,R
IL,2016,15,0.0,274554.0,0.0,R,R
IL,2016,16,0.0,259722.0,0.0,R,R
IL,2016,17,173125.0,113943.0,0.6030801060000001,D,D
IL,2016,18,96770.0,250506.0,0.278654442,R,R
IN,2016,1,207515.0,0.0,1.0,D,D
IN,2016,2,102401.0,164355.0,0.38387515200000005,R,R
IN,2016,3,66023.0,201396.0,0.24688971199999998,O,R
IN,2016,4,91256.0,193412.0,0.320569927,R,R
IN,2016,5,123849.0,221957.0,0.35814589700000005,R,R
IN,2016,6,79135.0,204920.0,0.278590414,R,R
IN,2016,7,158739.0,94456.0,0.62694366,D,D
IN,2016,8,93356.0,187702.0,0.332159198,R,R
IN,2016,9,130627.0,174791.0,0.42769908799999995,O,R
KS,2016,1,0.0,169992.0,0.0,O,R
KS,2016,2,96840.0,181228.0,0.348260138,R,R
KS,2016,3,139300.0,176022.0,0.441770634,R,R
KS,2016,4,81495.0,166998.0,0.327956924,R,R
KY,2016,1,81710.0,216959.0,0.273580452,O,R
KY,2016,2,0.0,251825.0,0.0,R,R
KY,2016,3,212401.0,122093.0,0.634991958,D,D
KY,2016,4,94065.0,233922.0,0.286794903,R,R
KY,2016,5,0.0,221242.0,0.0,R,R
KY,2016,6,128728.0,202099.0,0.389109716,R,R
LA,2016,1,63785.0,243645.0,0.207478125,R,R
LA,2016,2,284269.0,0.0,1.0,D,D
LA,2016,3,56215.0,258632.0,0.17854704,O,R
LA,2016,4,80593.0,199750.0,0.28747998,O,R
LA,2016,5,0.0,255662.0,0.0,R,R
LA,2016,6,79202.0,241075.0,0.247292188,R,R
MA,2016,1,235803.0,0.0,1.0,D,D
MA,2016,2,275487.0,0.0,1.0,D,D
MA,2016,3,236713.0,107519.0,0.687655418,D,D
MA,2016,4,265823.0,113055.0,0.701605794,D,D
MA,2016,5,285606.0,0.0,1.0,D,D
MA,2016,6,308923.0,0.0,1.0,D,D
MA,2016,7,253354.0,0.0,1.0,D,D
MA,2016,8,271019.0,102744.0,0.725109227,D,D
MA,2016,9,211790.0,127803.0,0.62365832,D,D
MD,2016,1,103622.0,242574.0,0.299315994,R,R
MD,2016,2,192183.0,102577.0,0.6519982360000001,D,D
MD,2016,3,214640.0,115048.0,0.651039771,D,D
MD,2016,4,237501.0,68670.0,0.775713572,O,D
MD,2016,5,242989.0,105931.0,0.696403187,D,D
MD,2016,6,185770.0,133081.0,0.582623232,D,D
MD,2016,7,238838.0,69556.0,0.77445735,D,D
MD,2016,8,220657.0,124651.0,0.639015024,O,D
ME,2016,1,227546.0,164569.0,0.580304247,D,D
ME,2016,2,159081.0,192878.0,0.451987305,R,R
MI,2016,1,144334.0,197777.0,0.42189231,O,R
MI,2016,2,110391.0,212508.0,0.341874704,R,R
MI,2016,3,128400.0,203545.0,0.386811068,R,R
MI,2016,4,101277.0,194572.0,0.34232666,R,R
MI,2016,5,195279.0,112102.0,0.635299514,D,D
MI,2016,6,119980.0,193246.0,0.383046107,R,R
MI,2016,7,134010.0,184321.0,0.420976908,R,R
MI,2016,8,143791.0,205629.0,0.411513365,R,R
MI,2016,9,199661.0,128937.0,0.607614776,D,D
MI,2016,10,110112.0,215132.0,0.338551979,O,R
MI,2016,11,152461.0,200872.0,0.43149380299999995,R,R
MI,2016,12,211378.0,96104.0,0.6874483709999999,D,D
MI,2016,13,198771.0,40541.0,0.830593535,D,D
MI,2016,14,244135.0,58103.0,0.807757463,D,D
MN,2016,1,169074.0,166526.0,0.503796186,D,D
MN,2016,2,167315.0,173970.0,0.490250084,O,R
MN,2016,3,169243.0,223077.0,0.431390192,R,R
MN,2016,4,203299.0,121032.0,0.626825681,D,D
MN,2016,5,249964.0,80660.0,0.756037069,D,D
MN,2016,6,123008.0,235380.0,0.343225778,R,R
MN,2016,7,173589.0,156952.0,0.525166318,D,D
MN,2016,8,179098.0,177089.0,0.502820148,D,D
MO,2016,1,236993.0,62714.0,0.790748965,D,D
MO,2016,2,155689.0,241954.0,0.391529588,R,R
MO,2016,3,102891.0,249865.0,0.291677533,R,R
MO,2016,4,92510.0,225348.0,0.291041912,R,R
MO,2016,5,190766.0,123771.0,0.606497805,D,D
MO,2016,6,99692.0,238388.0,0.29487695199999997,R,R
MO,2016,7,92756.0,228692.0,0.28855678100000004,R,R
MO,2016,8,70009.0,229792.0,0.233518234,R,R
MS,2016,1,83947.0,206455.0,0.289071701,R,R
MS,2016,2,192343.0,83542.0,0.6971854209999999,D,D
MS,2016,3,96101.0,209490.0,0.314475884,R,R
MS,2016,4,77505.0,181323.0,0.299445964,R,R
MT,2016,1,205919.0,285358.0,0.41915050000000004,R,R
NC,2016,1,240661.0,101567.0,0.703218322,D,D
NC,2016,2,169082.0,221485.0,0.432914199,O,R
NC,2016,3,106170.0,217531.0,0.327987865,R,R
NC,2016,4,279380.0,130161.0,0.682178341,D,D
NC,2016,5,147887.0,207625.0,0.415983145,R,R
NC,2016,6,143167.0,207983.0,0.407708956,R,R
NC,2016,7,135905.0,211801.0,0.39086182,R,R
NC,2016,8,133182.0,189863.0,0.412270736,R,R
NC,2016,9,139041.0,193452.0,0.418177225,R,R
NC,2016,10,128919.0,220825.0,0.36860961200000003,R,R
NC,2016,11,129103.0,230405.0,0.359110228,R,R
NC,2016,12,234115.0,115185.0,0.670240481,D,D
NC,2016,13,156049.0,199443.0,0.438966278,R,R
ND,2016,1,80377.0,233980.0,0.255687006,R,R
NE,2016,1,83467.0,189771.0,0.305473616,R,R
NE,2016,2,137602.0,141066.0,0.493784719,D,R
NE,2016,3,0.0,226720.0,0.0,R,R
NH,2016,1,161828.0,157011.0,0.5075539689999999,R,D
NH,2016,2,174386.0,158960.0,0.523138121,D,D
NJ,2016,1,183231.0,112388.0,0.619821459,D,D
NJ,2016,2,110838.0,176338.0,0.38595843700000004,R,R
NJ,2016,3,127526.0,194596.0,0.395893481,R,R
NJ,2016,4,111532.0,211992.0,0.34474103899999997,R,R
NJ,2016,5,172587.0,157690.0,0.522552282,R,D
